"Algeria","Argentina","Australia","Austria","Bahamas","Bangladesh","Belarus","Belgium","Bolivia","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Canada","Chile","China","Colombia","Costa Rica","Cuba","Cyprus","Denmark","Ecuador","Egypt","Ethiopia","Finland","France","Ghana","Greece","Guyana","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kenya","Kuwait","Libya","Luxembourg","Malaysia","Mali","Malta","Mexico","Nepal","Netherlands","New Zealand","Nigeria","Norway","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Russian Federation","Singapore","Spain","Sri Lanka","Sudan","Sweden","Syrian Arab Republic","Tanzania","Thailand","Togo","Trinidad and Tobago","UK","Ukraine","Uruguay","USA","Venezuela","Zambia"
"2795",2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,2,1,1,1,3,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1
"2839",2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,NA,3,2,1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,NA,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1
"2855",1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,NA,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1
"2865",2,1,1,1,2,1,3,1,NA,1,1,1,3,2,1,1,1,1,1,3,2,1,2,1,3,2,1,2,1,NA,3,1,3,NA,1,1,1,1,1,1,1,2,3,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,3,1,3,1,1,2,1,1,3,2,1,1,2,1,3,1,1,1,2
"2868",3,1,1,1,2,3,NA,1,NA,1,2,3,NA,2,1,1,NA,1,1,3,2,1,2,2,2,1,1,2,1,NA,NA,1,2,3,1,1,1,1,2,1,1,3,3,1,3,2,2,1,2,1,1,2,1,3,1,1,1,2,3,1,1,2,1,2,3,1,3,3,2,1,2,1,1,NA,1,1,2
"2915",1,1,3,2,2,1,1,3,1,1,1,1,1,1,3,2,1,2,3,1,1,3,1,1,1,2,3,1,1,1,1,3,1,1,3,3,3,2,2,1,1,1,1,3,1,1,1,1,1,3,3,1,3,1,2,2,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,3,1,2,3,1,1
"2924",1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,NA,1,1,1,2,2,1,2,1,1,3,1,1
"2938",1,1,1,1,1,1,3,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,3,2,1,2,1,1,1,NA,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,1,2,1,1,1,1,1,1,1,1,2,3,1,3,1,1
"2948",NA,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,NA,1,1,1,3,2,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,2,1,1,1,1,3,1,1,1,1
"2957",1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,NA,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,NA,1,2,1,1,1,1,NA,2,1,2,1,1,3,1,1
"2958",2,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,1,1,3,2,1,1,1,3,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1
"2967",1,1,3,2,2,1,1,3,NA,1,2,1,1,1,3,3,1,2,3,1,1,3,2,2,1,2,3,1,2,1,1,3,1,1,2,3,3,2,3,1,1,1,1,3,1,NA,1,2,1,3,3,1,3,1,2,2,1,2,1,3,1,NA,3,1,1,2,1,1,NA,2,1,3,1,2,3,2,1
"2968",1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,NA,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1
