"Algeria","Argentina","Australia","Austria","Bahamas","Bangladesh","Belarus","Belgium","Bolivia","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Canada","Chile","China","Colombia","Costa Rica","Cuba","Cyprus","Denmark","Ecuador","Egypt","Ethiopia","Finland","France","Ghana","Greece","Guyana","Hungary","Iceland","India","Indonesia","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kenya","Kuwait","Libya","Luxembourg","Malaysia","Mali","Malta","Mexico","Nepal","Netherlands","New Zealand","Nigeria","Norway","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Russian Federation","Singapore","Spain","Sri Lanka","Sudan","Sweden","Syrian Arab Republic","Tanzania","Thailand","Togo","Trinidad and Tobago","UK","Ukraine","Uruguay","USA","Venezuela","Zambia"
"3602",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1
"3611",1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,NA,1,1,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
"3637",1,2,2,2,1,1,NA,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,3,2,2,2,1,1,1,1,2,1,NA,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,2,1,NA,2,1,1,1,1,1,2,1,2,3,1,1
"3644",1,2,3,2,2,1,2,3,1,1,1,1,3,1,3,1,1,1,NA,1,1,3,1,1,1,3,3,1,2,1,3,3,1,1,3,3,3,2,2,1,1,1,1,3,1,1,2,1,1,3,3,1,3,1,2,2,1,1,3,3,2,1,2,1,1,3,1,1,1,2,1,3,2,2,3,1,1
"3647",3,1,1,1,1,3,1,1,1,1,1,3,1,2,1,1,NA,1,1,3,1,1,1,NA,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,3,1,NA,3,1,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,3,1,3,2,1,1,2,1,1,1,1,1,1
"3654",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
"3655",1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,NA,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,NA,1,1,1,1,1,1,1,1,1,1
"3660",1,2,3,3,1,1,2,3,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,1,1,3,3,1,2,1,3,3,1,1,3,3,3,1,3,1,1,1,1,3,1,1,NA,1,1,3,3,NA,3,1,2,NA,1,1,3,3,2,1,2,1,NA,3,1,1,1,1,1,3,2,NA,3,1,1
"3663",1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,NA,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,3,1,2,1,1,1,1,1,NA,3
"3664",1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,1,1,1,1,1,1
"3670",1,2,2,2,2,2,2,2,2,NA,1,2,2,1,1,1,1,1,2,1,NA,2,1,NA,2,2,1,1,2,2,2,2,1,1,2,3,2,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,NA,2,2,1,1,3,1,1
"3676",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1
"3691",2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,NA,2,1,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,2,NA,1,1,2,1,2,1,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2
"3692",1,2,2,2,2,1,2,2,NA,1,2,1,2,1,2,2,1,2,NA,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,2,3,2,2,2,1,2,1,1,2,1,NA,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,NA,2,2,2,3,2,NA
"3697",1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,3,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,NA,2,2,2,3,1,1
"3700",1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
"3709",1,2,2,2,NA,1,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,2,2,NA,2,1,2,2,1,1,2,3,2,2,2,1,NA,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,1,2,1,1,2,1,NA,1,1,1,2,1,3,3,1,1
"3725",1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,NA,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,2
"3728",1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1
"3729",2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,3,2,1,3,2,1,2,2,2,1,1,3,1,2,1,1,2,2,1,1,1,2,1,2,1,1,3,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,3,1,3,3,2,2,2,1,1,1,1,2,3
"3730",1,1,1,1,2,2,1,1,1,1,1,2,1,NA,1,1,3,2,1,3,1,1,1,NA,NA,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,3,1,3,1,2,1,1,1,1,1,1,1,1
"3731",2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1
"3732",1,NA,1,1,1,3,1,1,1,1,1,2,NA,2,1,1,3,2,1,3,2,1,1,1,2,1,1,2,1,2,1,1,2,3,1,1,1,1,1,2,1,NA,3,1,3,1,1,1,1,1,1,2,1,3,1,1,1,2,NA,1,1,1,1,3,3,1,3,2,2,1,1,1,1,NA,1,1,NA
"3736",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
"3739",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1
"3741",1,2,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,NA,2,2,1,1,1,1,2,2,1,1,2,3,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,3,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,3,1,1
"3762",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
"3764",1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,3,2,2,2,1,2,1,1,2,1,NA,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,2,3,2,2
"3778",1,2,2,3,2,1,2,3,2,1,2,1,3,1,3,2,1,1,2,1,2,3,2,1,2,3,3,2,3,2,3,3,2,1,3,3,3,2,3,1,3,1,1,3,1,1,3,2,2,3,2,2,3,1,2,2,2,1,3,3,2,2,3,1,1,3,1,1,1,2,2,3,2,2,3,1,2
"3784",1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,NA,1,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,1
"3791",1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1
"3792",2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,1,3,2,1,3,1,1,1,2,2,1,1,3,1,2,1,1,3,3,1,1,1,2,1,NA,2,1,3,1,3,2,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,3,1,3,2,2,2,2,1,2,1,1,2,3
"3793",2,1,1,1,1,2,1,1,1,1,1,2,1,NA,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,NA,2,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,3,1,1,2,2,2,1,1,1,1,1,1,1
"3794",1,1,1,1,1,3,2,1,1,1,1,3,2,2,1,1,3,2,1,3,2,1,1,1,2,1,1,2,1,1,NA,1,3,3,1,1,1,1,1,NA,2,NA,3,1,3,2,1,1,2,1,1,2,1,3,1,1,1,2,2,1,1,2,1,3,3,1,3,NA,2,2,1,1,2,2,1,1,1
"3795",1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,3,1,1,3,1,1,1,NA,NA,1,1,1,1,1,1,1,3,3,1,1,1,2,1,NA,2,1,3,1,2,2,1,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,2,3,1,3,1,2,2,1,1,1,1,1,1,1
"3799",1,2,2,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,1,1,2,3,2,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,2,NA,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,3,1,1
"3801",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
"3804",1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,2,1,1,2,3,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1
"3805",1,2,2,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,NA,2,2,1,1,2,2,2,NA,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2
"3823",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,2,1,2,1,1,1,1,1,2,2
"3830",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
"3843",1,3,2,2,1,1,2,3,1,1,1,1,3,1,2,2,NA,1,1,1,1,3,1,1,1,3,3,2,3,1,3,3,1,1,2,3,3,2,2,1,1,NA,1,3,1,1,3,1,1,3,1,1,2,1,NA,1,1,1,3,3,3,1,3,1,1,2,1,1,1,2,2,3,2,1,3,1,1
"3849",1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,3,2,NA,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,3,1,2
"3854",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1
"3857",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1
"3858",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1
"3864",1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1
"3865",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2
"3866",1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,3,2,1,3,2,1,1,2,2,1,1,2,1,1,1,1,3,3,1,1,1,1,1,2,2,2,3,1,2,2,1,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,2,3,1,3,1,2,2,1,1,1,1,1,1,1
"3867",2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,3,2,1,3,1,1,1,2,2,1,1,3,1,2,1,1,3,3,1,1,1,2,1,2,2,1,3,1,2,2,1,2,NA,1,1,2,1,2,2,1,2,2,1,1,1,2,1,2,3,1,3,3,2,2,2,1,2,1,1,2,3
"3868",1,1,1,1,1,3,1,1,1,1,1,3,2,2,1,1,3,2,1,3,2,1,1,2,2,1,1,2,1,1,1,1,3,3,1,1,1,1,1,2,2,NA,3,1,3,2,1,1,2,1,1,2,1,3,2,1,1,2,2,1,1,2,1,3,3,1,3,3,2,2,1,1,2,2,1,1,1
"3869",2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,NA,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,3,1,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,3,1,1,2,2,2,1,1,1,1,1,1,1
"3875",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1
"3876",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,3,1,1,2,NA,1,NA,1,1,1,1,2,1,NA,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1
"3879",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,NA,1,1,1,1,1,1
"3897",1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3898",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3899",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3900",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3901",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3902",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3903",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3904",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3905",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3906",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3907",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3908",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3909",1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1
"3941",1,2,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,NA,1,1,2,2,2,2,3,2,2
"3948",1,1,3,3,2,1,2,3,1,1,1,1,2,1,3,1,1,1,1,1,2,3,1,1,1,3,3,1,2,1,3,3,1,1,3,3,3,1,3,1,1,1,1,3,1,1,2,1,1,3,3,1,3,1,1,1,1,1,3,2,2,1,2,1,1,3,1,NA,1,1,1,3,1,1,3,1,1
"3949",1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1
"3951",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
"3954",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1
"3955",1,1,1,1,1,3,2,1,1,1,1,3,1,2,1,NA,3,2,1,3,2,1,1,2,2,1,1,3,1,1,1,1,3,3,1,1,1,1,1,2,2,2,3,1,3,2,1,1,2,1,1,3,1,3,1,1,1,2,1,1,1,2,1,3,3,1,3,3,2,2,1,1,2,2,1,1,1
"3957",2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,3,1,2,2,1,1,2,1,1,3,1,2,1,1,1,2,1,1,1,1,1,2,3,1,1,2,2,2,1,1,1,1,1,1,1
"3958",1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,NA,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,NA
"3959",2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,3,2,NA,3,1,1,1,1,1,1,1,2,1,1,1,1,3,3,1,1,1,1,1,2,2,2,3,1,2,2,1,1,2,1,1,3,1,3,1,1,1,2,1,1,1,1,1,2,3,1,3,1,2,2,1,1,1,1,1,1,1
"3960",2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,3,2,1,3,1,1,1,2,2,1,1,3,1,2,1,1,3,3,1,1,1,2,1,2,2,1,3,1,2,2,1,2,2,1,1,3,1,2,1,1,2,2,1,1,1,2,1,2,3,1,3,3,2,2,2,1,2,2,1,2,3
"3961",2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,3,1,1,2,3,1,1,2,NA,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,NA,3,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,1,2,3,1,NA,2,2,3,1,1,1,1,1,1,1
"3962",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,NA
"3964",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
"3966",1,2,2,2,NA,NA,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,2,1,NA,2,2,1,2,1,2,NA,1,1,2,3,2,2,2,1,2,NA,1,2,1,1,2,1,2,2,2,NA,2,1,2,2,2,NA,2,2,1,1,2,1,1,2,1,1,1,2,2,2,2,NA,3,1,1
"3973",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1
"3989",1,2,2,2,1,1,2,3,1,1,1,1,2,1,3,1,1,1,1,1,2,2,1,1,1,2,3,1,NA,1,3,2,1,1,1,2,3,1,2,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,1,1,1,1,3,3,3,1,3,1,1,1,1,1,1,2,1,3,2,1,3,1,1
"3994",1,1,1,1,1,NA,2,NA,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
