3.51	4.43	4.76	3.68	4.77	4.74	3.43	5.05	4.20
3.41	4.05	3.42	3.78	1.04	3.37	3.47	3.25	3.79
3.20	3.66	4.22	3.07	3.86	4.50	3.19	4.62	3.75
2.73	5.25	2.44	2.75	5.28	2.11	2.68	2.07	3.63
2.35	3.88	4.18	2.78	3.86	4.37	2.38	4.21	4.63
3.03	4.23	2.47	3.12	4.24	2.47	2.90	2.36	3.53
2.21	3.27	3.67	2.49	3.40	4.10	2.53	4.03	3.33
3.91	2.71	4.59	3.91	4.23	4.72	3.81	4.88	3.96
3.07	4.08	4.74	3.34	4.23	4.88	3.20	5.20	3.95
3.21	3.57	4.20	3.24	3.85	4.28	3.16	4.30	3.75
3.15	3.80	4.34	3.33	3.88	4.49	3.17	4.70	3.67
2.84	3.41	4.01	2.89	3.64	4.15	2.95	4.25	3.65
2.75	3.24	4.07	2.68	3.55	4.18	2.84	4.56	3.22
2.35	3.44	4.13	3.16	3.55	4.55	2.82	4.49	3.29
3.07	3.82	4.17	3.21	3.94	4.42	3.21	4.41	3.67
3.45	4.29	4.44	3.74	4.47	4.68	3.61	4.76	4.04
2.53	4.71	4.53	2.83	4.83	4.71	2.70	4.83	4.72
3.12	3.58	4.10	3.14	3.82	4.28	3.10	4.53	3.50
2.93	3.27	4.13	2.80	3.46	4.10	2.84	5.12	3.13
2.24	3.11	4.12	2.39	3.39	4.17	2.54	4.33	3.19
2.41	3.14	3.43	2.40	3.22	3.45	2.43	3.22	3.93
3.32	3.74	4.32	3.32	4.01	4.64	3.26	4.88	3.72
3.39	4.04	4.51	3.48	4.23	4.63	3.43	4.95	3.86
2.88	3.39	3.85	2.90	3.61	4.18	2.79	3.94	3.96
2.74	3.57	2.37	2.77	3.96	2.49	2.71	2.44	3.26
2.70	3.10	3.85	2.82	3.58	4.13	2.79	4.17	3.20
